text	translation
a	away, for, per, into, à, at, on, to, in, o'clock
a casa	at home
a destra	to the right
a presto	see you soon
a volte	sometimes
abbiamo	hold, do we have, ve, we have, we've, we have got, own, had, we're, have, keep, stock, are, we’ve
abbiamo bisogno di	we need, need
acqua	water
aereo	plane, planes, airplane, aerial, airplanes, plane's
aeroporto	airport
affitto	rent
aglio	garlic
agosto	August
ah	oh, ah
aiuto	help
al	with the, to the, with, of the, the, a, for, per, at the, into, at, into the, to, on the, in, al
al mercato	at the market, to the market, in the market
all'una	at one, at 1 o'clock, at one o'clock
alla settimana	a week
alle	al, to the, for, as, per, at, to, o'clock
allo	to the, a, each, for, per, at the, favour, at, to, favor, every, in, al
allora	so
alta	from the top, deep, long, thick, from on high, noble, from above, top, high-pitched, upper, tall, loud, high, highest
alto	tall
altri	others, other, different
americana	American
americane	American, Americans
americani	American, Americans
americano	American
amica	friend, friends, partner, friend's
amiche	friends, girlfriends
amici	friends
amico	friend
ammiro	admire
anche	even, too, hips, also, as well, so
andare	to go
andate	going, you go, do you go, go, fit, gone, went, you are going
andiamo	let's, we're going, we go, go, do we go, we will go, let’s, going, we are going, we're, gone, let's go, went, we’re
anello	bands, ring, rings
animali	animals, brute, animal
anno	year
annoiato	bored, got/gotten bored
antipasto	appetizer
aperitivo	aperitif
aperto	open
appartamento	apartment
applicazione	app
appuntamento	appointment, date, appointment's, date's
apri	you start up, you put on, you open up, you unwrap, you switch on, you break, you draw back, open, you undo, you spread out, you open, you head, you unfold, you fold back, you open out, call, clear, you widen, you part, you clear up, you crack, you turn on, unlock
aprile	April
aprire	to open
aprite	open, you open, clear, call
aria	wind, breeze, air, expression, look, aria, looking
armadio	closet
arrivare	to arrive, arrive, to come, get, arrives, carried, got, be successful, come, arrived, finished, came, carry
arrivederci	goodbye
arte	art
artista	artist
artisti	master, artist, artists, artists'
aspettare	to wait
attento	careful, special, open-eyed, mindful, tactful, caring, watchful, scrupulous, thorough, alert, close, attentive, disciplined, closer, wary, observant
autobus	bus
avere	to have
avete	you have, you own, you've, do you have, did, own, had, have, keep, you’ve
bacio	excellent, (I) kiss (each other), perfect, kiss
bagni	(you) wet, (you) soak, (you) water, bathrooms
bagno	swim, washroom, bath, restroom, I soak, I wet, I water, bathroom, toilet, wet
balcone	balcony
balconi	balconies
balla	(you) dance, (he/she/it) wobbles, (he/she/it) dances, dance
ballare	to dance
bambini	children, boys, kids, babies
bambola	doll
banca	bank
banco	bar, desk, desk's
bar	cafes, bar, coffee shop, cafe, café's, café, cafés, coffee bar, bar's, cafeterias
barra	bar, rod, rods
bella	beautiful, nice, fair copy, pretty
belle	beautiful, sweetheart, good, nice, fair, on purpose, sizeable, boyfriend, pleasant, good-looking, goodly, pretty, goods, lovely, fines, handsome
belli	beautiful, sweetheart, good, nice, fair, on purpose, sizeable, boyfriend, pleasant, good-looking, goodly, pretty, lovely, fine, handsome
bello	beautiful, handsome, lovely, nice, pretty, good-looking, good
bene	well
benvenuti	welcome
benvenuto	welcome
bere	to drink
bevo	I drink, drink
bianco	white wine, blanc, white, bianco, white's
bicchiere	glass, goblets
bicicletta	bicycle
biglietti	tickets
biglietto	ticket
biondo	blonde, fair-haired man, fair, blond, fair-haired
birra	beer, beer's
blu	blue
borsa	bag
borse	briefcase, bag, handbag, stock exchange, bags
bottiglia	bottle
brutto	bad, worse, terrible, ugly, nasty, unattractive, poor, awful, unsightly
buchi	breaks, holes
buco	broken, broke, hit, break, hole
buffi	funny
buffo	funny, goofy
buon giorno	good morning
buona fortuna	good luck, best of luck, good fortune, good luck with that
buona sera	good evening, good night
buono	strongest, kind, better, full, best, voucher, still, nice, tasty, good, sweet
burro	butter
busto	stay
c'è	there is, there’s, there was
c'è il sole	the sun is shining, it is sunny, there is sunshine, the sun is out
cado	strike
caffè	coffee
calcio	soccer
calde	hotf, hot, warm
caldo	hot, warm, friendly, full-blooded, cozier
calza	stocking, (he/she/it) shoes, (he/she/it) wears, (you) wear, (you) are apt, sock
camicia	shirt
camicie	blouses, shirts
canapè	couch
cane	dog
cani	dogs
cantare	to sing
canzone	song, epic poem, canzone, entries
capa	boss
Capodanno	New Year's
cappelli	hats
cappello	hat
cappotto	overcoat, coat, coats
cappuccino	cappuccino
cara	dear, costly, expensive
care	lovable, sweetheart, costly, high price, sweet, kind, honey, a lot, (be)loved, dearly, dear, darling, high cost, expensive
cari	dear, costly, expensive, fond
